symbol,timestamp,open,high,low,close,volume,vwap,trade_count
AAPL,2026-02-02T09:00:00Z,258,258,255.82,257.59,6633,257.526,205
AAPL,2026-02-02T09:01:00Z,257.8,257.92,257.8,257.92,3807,257.901,42
AAPL,2026-02-02T09:02:00Z,258,258.08,258,258.07,1874,258.048,74
AAPL,2026-02-02T09:03:00Z,258.05,258.1,258,258.04,3046,258.085,63
AAPL,2026-02-02T09:04:00Z,258.07,258.2,258.05,258.05,6019,258.182,62
AAPL,2026-02-02T09:05:00Z,258,258,257.82,257.82,1888,257.982,61
AAPL,2026-02-02T09:06:00Z,258.02,258.02,258,258,986,258.012,44
AAPL,2026-02-02T09:07:00Z,258.02,258.02,258,258,1680,258.01,49
AAPL,2026-02-02T09:08:00Z,258.15,258.15,258.15,258.15,385,258.15,9
AAPL,2026-02-02T09:09:00Z,258.02,258.02,258.02,258.02,251,258.02,16
AAPL,2026-02-02T09:11:00Z,258.05,258.05,258.05,258.05,322,258.05,24
AAPL,2026-02-02T09:12:00Z,258.44,258.45,258.35,258.35,1135,258.415,65
AAPL,2026-02-02T09:13:00Z,258.35,258.35,258.34,258.34,715,258.345,24
AAPL,2026-02-02T09:14:00Z,258.12,258.12,258.11,258.11,511,258.115,24
AAPL,2026-02-02T09:17:00Z,258.32,258.42,258.27,258.42,4157,258.385,106
AAPL,2026-02-02T09:18:00Z,258.39,258.4,258.39,258.4,1548,258.399,26
AAPL,2026-02-02T09:19:00Z,258.4,258.42,258.4,258.42,904,258.407,23
AAPL,2026-02-02T09:20:00Z,258.3,258.3,258.3,258.3,324,258.3,15
AAPL,2026-02-02T09:21:00Z,258.38,258.44,258.38,258.44,984,258.41,43
AAPL,2026-02-02T09:22:00Z,258.5,258.79,258.5,258.79,6988,258.526,144
AAPL,2026-02-02T09:23:00Z,258.59,258.59,258.59,258.59,1541,258.59,72
AAPL,2026-02-02T09:25:00Z,258.52,258.52,258.36,258.36,533,258.465,19
AAPL,2026-02-02T09:26:00Z,258.32,258.5,258.31,258.5,2410,258.401,45
AAPL,2026-02-02T09:28:00Z,258.39,258.39,258.36,258.36,753,258.377,29
AAPL,2026-02-02T09:30:00Z,258.44,258.49,258.44,258.48,898,258.472,25
AAPL,2026-02-02T09:32:00Z,258.45,258.45,258.45,258.45,525,258.45,8
AAPL,2026-02-02T09:33:00Z,258.48,258.7,258.48,258.7,2209,258.633,87
AAPL,2026-02-02T09:36:00Z,258.6,258.87,258.6,258.87,2552,258.84,56
AAPL,2026-02-02T09:37:00Z,258.7,258.7,258.61,258.62,1243,258.643,27
AAPL,2026-02-02T09:38:00Z,258.7,258.7,258.7,258.7,279,258.7,8
AAPL,2026-02-02T09:39:00Z,258.66,258.68,258.66,258.68,1470,258.678,28
AAPL,2026-02-02T09:42:00Z,258.61,258.61,258.57,258.57,578,258.59,21
AAPL,2026-02-02T09:45:00Z,258.68,258.7,258.68,258.7,3262,258.696,62
AAPL,2026-02-02T09:46:00Z,258.56,258.56,258.56,258.56,670,258.56,21
AAPL,2026-02-02T09:47:00Z,258.49,258.49,258.41,258.41,417,258.45,13
AAPL,2026-02-02T09:49:00Z,258.62,258.63,258.62,258.63,1458,258.628,63
AAPL,2026-02-02T09:53:00Z,258.5,258.53,258.5,258.53,997,258.518,15
AAPL,2026-02-02T09:56:00Z,258.46,258.53,258.4,258.4,3212,258.467,69
AAPL,2026-02-02T09:58:00Z,258.5,258.5,258.5,258.5,343,258.5,10
AAPL,2026-02-02T09:59:00Z,258.45,258.5,258.45,258.5,1254,258.482,36
AAPL,2026-02-02T10:01:00Z,258.52,258.52,258.42,258.42,1250,258.47,28
AAPL,2026-02-02T10:04:00Z,258.48,258.6,258.48,258.6,2549,258.576,34
AAPL,2026-02-02T10:05:00Z,258.54,258.6,258.54,258.6,1556,258.583,31
AAPL,2026-02-02T10:08:00Z,258.43,258.43,258.43,258.43,432,258.43,10
AAPL,2026-02-02T10:15:00Z,258.41,258.41,258.41,258.41,361,258.41,26
AAPL,2026-02-02T10:20:00Z,258.44,258.44,258.44,258.44,516,258.44,17
AAPL,2026-02-02T10:21:00Z,258.54,258.54,258.54,258.54,466,258.54,32
AAPL,2026-02-02T10:22:00Z,258.41,258.41,258.35,258.35,1093,258.38,34
AAPL,2026-02-02T10:23:00Z,258.32,258.32,258.28,258.28,436,258.307,23
AAPL,2026-02-02T10:24:00Z,258.25,258.25,258.19,258.19,1633,258.222,32
AAPL,2026-02-02T10:30:00Z,258.32,258.42,258.32,258.42,1022,258.349,36
